Country name,City name,Airport Code,Airport Name,Country Abbrev.,World Area Code
United States,Prudhoe Bay,PUO,Prudhoe Bay,US,67
United States,Prudhoe Bay/Deadhorse,SCC,Prudhoe Bay/Deadhorse,US,67
United States,Pueblo,PUB,Memorial,US,67
United States,Pullman,PUW,Pullman-Moscow Regional,US,67
United States,Punta Gorda,PGD,Charlotte County,US,67
United States,Quakertown,UKT,Upper Bucks,US,67
United States,Quantico,NYG,Quantanico Nas,US,67
United States,Queen,UQE,Queen,US,67
United States,Quillayute,UIL,Quillayute State,US,67
United States,Quincy,UIN,Municipal,US,67
United States,Quincy,MQI,Quincy,US,67
United States,Quinhagak,KWN,Kwinhagak,US,67
United States,Quonset Point,NCO,NAS,US,67
United States,Racine,RAC,Horlick,US,67
United States,Rail (Generic),XZU,Off line Point,US,67
United States,Raleigh/Durham,RDU,Raleigh-Durham International,US,67
United States,Rampart,RMP,Rampart,US,67
United States,Rancho,RBK,French Valley,US,67
United States,Rangely,RNG,Rangely,US,67
United States,Ranger,RGR,Ranger Municipal,US,67
United States,Rapid City,RCA,Ellsworth AFB,US,67
United States,Rapid City,RAP,Regional,US,67
United States,Raspberry Strait,RSP,Raspberry Strait,US,67
United States,Raton,RTN,Crews Field,US,67
United States,Rawlins,RWL,Rawlins,US,67
United States,Reading,RDG,Municipal/Spaatz Fld,US,67
United States,Red Bluff,RBL,Red Bluff Fss,US,67
United States,Red Devil,RDV,Red Devil,US,67
United States,Red Dog,RDB,Red Dog,US,67
United States,Red River,RDR,Grand Forks AFB,US,67
United States,Redding,RDD,Redding,US,67
United States,Redmond,RDM,Roberts Field,US,67
United States,Redwood Falls,RWF,Redwood Falls Muni,US,67
United States,Reed City,RCT,Miller Field,US,67
United States,Reedsville,RED,Mifflin County,US,67
United States,Refugio,RFG,Rooke Field,US,67
United States,Rehoboth Beach,REH,Rehoboth Beach,US,67
United States,Rensselaer,RNZ,Rensselaer,US,67
United States,Renton,RNT,Renton,US,67
United States,Rhinelander,RHI,Oneida County,US,67
United States,Rice Lake,RIE,Rice Lake,US,67
United States,Richfield,RIF,Reynolds,US,67
United States,Richland,RLD,Richland,US,67
United States,Richmond,RID,Richmond,US,67
United States,Richmond,RIC,Intl (Byrd Field),US,67
United States,Richmond,ZRD,Richmond VA Rail,US,67
United States,Rifle,RIL,Garfield County,US,67
United States,Riverside,JRD,Heliport,US,67
United States,Riverside,RIV,March AFB,US,67
United States,Riverside,RIR,Riverside Fla-Bob,US,67
United States,Riverside,RAL,Riverside Municipal,US,67
United States,Riverton,RIW,Riverton,US,67
United States,Roanoke,ROA,Municipal,US,67
United States,Roanoke Rapids,RZZ,Halifax County,US,67
United States,Roche Harbor,RCE,Roche Harbor,US,67
United States,Rochester,RCR,Fulton County,US,67
United States,Rochester,RST,Municipal,US,67
United States,Rochester,JRC,Municipal Heliport,US,67
United States,Rochester,ROC,Monroe County,US,67
United States,Rochester,ZTE,Rochester NY Rail,US,67
United States,Rock Hill,RKH,Rock Hill,US,67
United States,Rock Springs,RKS,Sweetwater County,US,67
